t_s,Power_W,T_local_C,T_remote_C
611,1,39.6175069310472,34.8354542381747
612,1,39.6340195228836,34.8478003277526
613,1,39.650512171855,34.8601315068678
614,1,39.6669849020475,34.8724477935197
615,1,39.6834377375179,34.8847492056863
616,1,39.6998707022938,34.8970357613241
617,1,39.716283820374,34.909307478368
618,1,39.7326771157283,34.9215643747315
619,1,39.7490506122975,34.9338064683066
620,1,39.7654043339934,34.9460337769639
621,1,39.781738304699,34.9582463185525
622,1,39.7980525482685,34.9704441109002
623,1,39.8143470885272,34.9826271718135
624,1,39.8306219492717,34.9947955190773
625,1,39.8468771542696,35.0069491704555
626,1,39.8631127272603,35.0190881436905
627,1,39.879328691954,35.0312124565034
628,1,39.8955250720325,35.0433221265941
629,1,39.9117018911491,35.0554171716413
630,1,39.9278591729284,35.0674976093025
631,1,39.9439969409663,35.0795634572138
632,1,39.9601152188306,35.0916147329905
633,1,39.9762140300603,35.1036514542264
634,1,39.992293398166,35.1156736384944
635,1,40.0083533466302,35.1276813033461
636,1,40.0243938989066,35.1396744663123
637,1,40.0404150784209,35.1516531449025
638,1,40.0564169085703,35.1636173566052
639,1,40.072399412724,35.1755671188881
640,1,40.0883626142227,35.1875024491977
641,1,40.1043065363789,35.1994233649595
642,1,40.1202312024773,35.2113298835782
643,1,40.1361366357741,35.2232220224376
644,1,40.1520228594975,35.2350997989005
645,1,40.1678898968478,35.2469632303088
646,1,40.183737770997,35.2588123339837
647,1,40.1995665050895,35.2706471272254
648,1,40.2153761222414,35.2824676273135
649,1,40.231166645541,35.2942738515066
650,1,40.2469380980487,35.3060658170427
651,1,40.2626905027971,35.3178435411389
652,1,40.278423882791,35.3296070409919
653,1,40.2941382610073,35.3413563337773
654,1,40.3098336603952,35.3530914366504
655,1,40.3255101038762,35.3648123667456
656,1,40.3411676143441,35.3765191411768
657,1,40.3568062146651,35.3882117770372
658,1,40.3724259276777,35.3998902913997
659,1,40.3880267761929,35.4115547013164
660,1,40.403608782994,35.4232050238188
661,1,40.4191719708369,35.4348412759181
662,1,40.4347163624501,35.4464634746051
663,1,40.4502419805345,35.4580716368497
664,1,40.4657488477636,35.4696657796019
665,1,40.4812369867835,35.481245919791
666,1,40.4967064202131,35.4928120743259
667,1,40.5121571706438,35.5043642600951
668,1,40.5275892606399,35.5159024939671
669,1,40.5430027127381,35.5274267927897
670,1,40.5583975494484,35.5389371733905
671,1,40.5737737932531,35.550433652577
672,1,40.5891314666077,35.5619162471362
673,1,40.6044705919404,35.573384973835
674,1,40.6197911916525,35.5848398494202
675,1,40.6350932881179,35.5962808906182
676,1,40.6503769036837,35.6077081141355
677,1,40.6656420606702,35.6191215366582
678,1,40.6808887813703,35.6305211748525
679,1,40.6961170880504,35.6419070453644
680,1,40.7113270029497,35.6532791648199
681,1,40.7265185482808,35.6646375498249
682,1,40.7416917462291,35.6759822169654
683,1,40.7568466189537,35.6873131828073
684,1,40.7719831885864,35.6986304638965
685,1,40.7871014772328,35.709934076759
686,1,40.8022015069714,35.7212240379011
687,1,40.8172832998542,35.7325003638087
688,1,40.8323468779065,35.7437630709484
689,1,40.8473922631272,35.7550121757665
690,1,40.8624194774883,35.7662476946896
691,1,40.8774285429356,35.7774696441246
692,1,40.892419481388,35.7886780404586
693,1,40.9073923147384,35.7998729000588
694,1,40.9223470648529,35.8110542392727
695,1,40.9372837535714,35.8222220744283
696,1,40.9522024027071,35.8333764218336
697,1,40.9671030340474,35.8445172977771
698,1,40.9819856693528,35.8556447185277
699,1,40.9968503303579,35.8667587003345
700,1,41.011697038771,35.8778592594272
701,1,41.0265258162741,35.8889464120158
702,1,41.0413366845229,35.9000201742908
703,1,41.0561296651472,35.9110805624231
704,1,41.0709047797506,35.9221275925642
705,1,41.0856620499104,35.9331612808461
706,1,41.1004014971782,35.9441816433811
